endTime,artistName,trackName,msPlayed
2020-07-10 23:55,Margaux Beylier,Northern Italy,187326
2020-10-26 15:16,"Peter, Paul and Mary",Leaving on a Jet Plane,207240
2020-10-26 15:46,Simon & Garfunkel,The Only Living Boy in New York,238413
2020-10-26 15:52,Billy Joel,New York State of Mind,362400
2020-10-26 15:56,Joni Mitchell,A Case of You,263480
2020-10-26 15:58,Simon & Garfunkel,April Come She Will,109013
2020-10-26 16:01,Jack Johnson,Sunsets For Somebody Else,210466
2020-10-26 16:03,The Beatles,I Will - Remastered 2009,105933
2020-10-26 16:07,Little River Band,Reminiscing - Remastered,253080
2020-10-26 16:11,Carole King,It's Too Late,233173
2020-10-26 16:15,Van Morrison,Into the Mystic - 2013 Remaster,205613
2020-10-26 16:22,The Velvet Underground,Oh! Sweet Nuthin' - 2015 Remaster,445186
2020-10-26 16:28,Ella Fitzgerald,Autumn In New York,356626
2020-10-26 16:31,Etta James,At Last,179693
2020-10-26 16:34,Billie Holiday,As Time Goes By,194573
2020-10-26 16:37,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,124693
2020-10-26 16:40,Etta James,A Sunday Kind Of Love,196133
2020-10-26 16:44,John Mayer,Daughters,237906
2020-10-26 16:47,"Crosby, Stills, Nash & Young",Our House,179760
2020-10-26 16:50,Lake Street Dive,I Can Change,191693
2020-10-26 16:54,Billy Joel,If I Only Had the Words (To Tell You),214520
2020-10-26 16:56,Norah Jones,Carry On,168106
2020-10-26 17:00,The Monkees,Me & Magdalena,213706
2020-10-26 20:50,Rainbow Kitten Surprise,Cocaine Jesus,2730
2020-10-26 20:50,Sixpence None The Richer,Kiss Me,1386
2020-10-26 20:50,flor,back again,874
2020-10-26 20:55,Taylor Swift,All Too Well,327893
2020-10-26 20:58,The Beatles,Michelle - Remastered 2009,5479
2020-10-26 20:59,The Head And The Heart,Honeybee,196055
2020-10-26 21:03,The Band CAMINO,Berenstein,276685
2020-10-26 21:56,James Vincent McMorrow,Me and My Friends,703
2020-10-26 21:56,Ritt Momney,Put Your Records On,72084
2020-10-26 21:56,Lauv,Feelings,10730
2020-10-26 21:59,COIN,Crash My Car,188306
2020-10-26 22:02,Matt Maeson,Hallucinogenics,187173
2020-10-26 22:06,Taylor Swift,the last great american dynasty,231000
2020-10-26 22:10,Noah Kahan,Maine,232618
2020-10-27 17:10,Ella Fitzgerald,Autumn In New York,356626
2020-10-27 17:15,Van Morrison,Moondance - 2013 Remaster,274040
2020-10-27 17:18,Etta James,At Last,179693
2020-10-27 17:21,Billy Joel,If I Only Had the Words (To Tell You),214520
2020-10-27 17:25,"Peter, Paul and Mary",Leaving on a Jet Plane,207240
2020-10-27 17:28,"Crosby, Stills, Nash & Young",Our House,179760
2020-10-27 17:32,Little River Band,Reminiscing - Remastered,253080
2020-10-27 17:35,Seinabo Sey,Still,173209
2020-10-27 17:39,Carly Simon,You're so Vain,258411
2020-10-27 17:41,The Beatles,Yesterday - Remastered 2009,125666
2020-10-27 17:43,The Beatles,I Will - Remastered 2009,105933
2020-10-27 17:45,Simon & Garfunkel,April Come She Will,109013
